Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Henrik Stenson,75.19,2018,73.51,29.93,60.67,69.617,868,60.0,291.5
Ryan Armour,73.58,2018,68.22,29.31,60.13,70.758,"1,006",109.0,283.5
Chez Reavie,72.24,2018,68.67,29.12,62.27,70.432,"1,020",93.0,286.5
Ryan Moore,71.94,2018,68.8,29.17,64.16,70.015,795,78.0,289.2
Brian Stuard,71.44,2018,67.12,29.11,59.23,71.038,421,103.0,278.9
Brian Gay,71.37,2018,64.52,28.25,63.26,70.28,880,103.0,282.9
Kyle Stanley,71.29,2018,71.09,29.89,54.8,70.404,"1,198",93.0,295.7
Emiliano Grillo,70.16,2018,68.84,29.04,61.05,70.152,901,94.0,295.2
Russell Henley,70.03,2018,68.77,29.8,54.33,70.48899999999999,569,77.0,293.0
Jim Furyk,69.91,2018,63.19,28.73,62.58,70.342,291,50.0,280.5
Steve Wheatcroft,69.79,2018,66.57,29.29,61.03,71.631,138,60.0,288.9
Kevin Streelman,69.11,2018,71.56,29.67,60.93,70.436,673,94.0,295.1
C.T. Pan,68.98,2018,71.2,29.66,56.89,70.457,693,104.0,292.7
David Lingmerth,68.93,2018,63.03,28.5,58.57,71.043,274,82.0,285.4
Keegan Bradley,67.9,2018,69.18,29.68,56.78,70.303,872,76.0,303.9
Rafa Cabrera Bello,67.85,2018,70.16,29.47,57.98,69.887,784,75.0,295.1
Billy Horschel,67.8,2018,71.75,29.46,58.03,70.154,960,86.0,295.4
Russell Knox,67.7,2018,69.57,29.7,59.43,70.568,585,94.0,291.7
Ben Crane,67.52,2018,64.88,28.69,63.0,71.097,267,65.0,281.1
Vaughn Taylor,67.51,2018,67.02,29.15,59.91,70.692,445,83.0,286.1
Brian Harman,67.14,2018,67.59,29.29,56.95,70.536,"1,056",94.0,291.9
Sam Ryder,66.91,2018,72.08,29.88,56.47,70.914,442,82.0,297.3
"Ted Potter, Jr.",66.83,2018,63.03,28.45,57.51,71.024,744,87.0,286.0
Austin Cook,66.76,2018,66.51,28.72,62.02,70.469,"1,060",107.0,292.3
Tyler Duncan,66.74,2018,69.65,30.19,52.76,71.04,457,97.0,294.4
David Hearn,66.63,2018,68.89,29.58,55.65,71.325,315,66.0,285.1
Alex Cejka,66.49,2018,63.77,28.52,64.0,70.675,502,77.0,286.7
Ian Poulter,66.41,2018,67.01,28.97,57.11,70.593,"1,030",73.0,293.6
Joel Dahmen,66.36,2018,68.82,29.26,63.31,70.578,676,93.0,295.8
Kevin Kisner,66.33,2018,65.38,28.91,60.29,70.729,971,89.0,290.8
J.J. Henry,66.22,2018,70.52,30.37,54.77,71.372,239,81.0,291.8
J.J. Spaun,66.18,2018,69.48,29.63,55.76,70.525,849,86.0,304.3
Justin Rose,66.02,2018,69.95,28.67,63.03,68.993,"1,991",70.0,303.5
Kelly Kraft,65.84,2018,63.83,28.92,58.93,71.333,627,94.0,288.6
Conrad Shindler,65.77,2018,66.27,29.14,60.0,71.465,92,60.0,291.3
Scott Piercy,65.68,2018,69.72,29.86,55.96,70.736,802,84.0,296.6
Adam Hadwin,65.6,2018,68.04,29.26,58.59,70.75,638,92.0,289.4
Ben Silverman,65.56,2018,64.95,28.74,57.36,71.281,323,90.0,290.2
Satoshi Kodaira,65.53,2018,60.3,29.88,51.02,72.182,600,51.0,293.6
Rickie Fowler,65.33,2018,69.52,28.99,63.05,69.435,"1,302",66.0,302.1
Xinjun Zhang,65.33,2018,67.04,29.67,58.2,71.486,195,81.0,298.7
Pat Perez,65.09,2018,67.78,29.29,55.63,70.594,"1,116",82.0,290.9
Lucas Glover,65.06,2018,67.12,29.64,59.83,71.066,324,65.0,297.7
Richy Werenski,65.06,2018,66.97,29.36,56.49,71.185,498,98.0,291.8
Hunter Mahan,65.04,2018,68.96,29.02,58.81,71.135,234,67.0,296.9
Francesco Molinari,65.04,2018,70.24,29.63,58.67,69.797,"1,682",73.0,301.0
Fabián Gómez,64.99,2018,67.86,29.38,58.85,71.02,221,88.0,291.1
Tommy Fleetwood,64.98,2018,69.36,29.3,55.77,69.342,"1,130",73.0,306.9
Graeme McDowell,64.92,2018,64.5,29.2,59.95,71.001,274,67.0,293.2
Louis Oosthuizen,64.81,2018,65.74,29.24,64.26,70.157,620,62.0,299.8
Chad Campbell,64.7,2018,65.54,29.75,59.39,71.683,361,87.0,286.5
Blayne Barber,64.67,2018,69.98,29.66,57.46,70.835,202,69.0,294.7
Michael Thompson,64.66,2018,70.11,29.62,55.77,70.92399999999999,280,62.0,296.4
Chris Kirk,64.64,2018,68.24,28.9,63.53,70.411,756,108.0,289.8
Daniel Berger,64.58,2018,66.89,29.42,58.94,70.32,565,80.0,300.4
Hudson Swafford,64.57,2018,68.99,30.03,54.01,71.619,245,73.0,302.8
Bronson Burgoon,64.53,2018,68.44,29.55,55.61,70.70100000000001,446,69.0,302.8
Brice Garnett,64.45,2018,66.78,29.34,58.63,71.018,634,99.0,296.7
Ryan Blaum,64.31,2018,66.1,29.13,55.46,70.993,433,81.0,289.0
Johnson Wagner,64.25,2018,67.87,28.65,65.41,70.758,338,75.0,286.1
Kevin Na,64.13,2018,64.66,28.07,63.62,70.288,"1,183",91.0,289.6
Zach Johnson,63.88,2018,67.43,28.62,62.35,69.911,839,94.0,289.8
John Huh,63.83,2018,65.8,28.82,57.94,70.718,480,94.0,287.1
James Hahn,63.73,2018,68.29,29.5,59.62,70.896,596,85.0,298.7
Rod Pampling,63.69,2018,62.64,29.31,56.67,72.445,64,62.0,288.4
Gary Woodland,63.69,2018,70.51,29.93,54.45,70.161,"1,044",68.0,313.3
Cameron Percy,63.66,2018,69.56,29.36,57.3,70.90899999999999,191,56.0,295.6
Abraham Ancer,63.64,2018,66.49,28.91,62.69,70.65899999999999,589,98.0,296.1
Ben Martin,63.52,2018,63.98,28.58,58.8,70.97399999999999,266,64.0,289.6
Branden Grace,63.49,2018,67.1,29.34,57.78,70.41199999999999,590,67.0,298.9
Denny McCarthy,63.45,2018,68.17,29.41,59.83,70.861,267,71.0,295.4
Aaron Wise,63.33,2018,68.81,29.15,56.28,70.247,"1,086",90.0,302.9
Jason Dufner,63.3,2018,64.24,29.58,58.25,71.32300000000001,557,71.0,297.1
Matt Kuchar,63.27,2018,66.81,28.85,63.6,70.461,679,88.0,288.0
Martin Laird,63.22,2018,65.9,28.83,59.15,70.839,443,73.0,299.0
Roberto Díaz,63.2,2018,63.73,29.21,58.56,71.73100000000001,107,72.0,286.3
Paul Casey,63.14,2018,67.84,29.07,60.58,69.85,"1,319",74.0,304.3
Corey Conners,62.99,2018,70.19,29.84,57.52,70.743,353,97.0,303.3
Kyle Thompson,62.99,2018,62.44,29.61,54.02,72.673,10,50.0,285.3
Troy Merritt,62.93,2018,65.16,28.74,57.6,70.888,616,89.0,295.4
Andrew Landry,62.92,2018,65.63,28.96,56.97,71.059,"1,116",82.0,291.1
Hideki Matsuyama,62.82,2018,69.29,29.21,60.8,70.02199999999999,607,75.0,302.0
Brandt Snedeker,62.79,2018,65.04,28.63,60.08,70.37899999999999,"1,077",84.0,293.1
Zac Blair,62.76,2018,66.48,28.97,61.43,71.215,176,64.0,279.5
Danny Lee,62.65,2018,65.05,28.56,60.81,71.196,481,88.0,290.6
Charles Howell III,62.59,2018,69.33,29.5,60.87,70.219,885,104.0,300.9
Adam Scott,62.51,2018,70.66,30.15,54.85,70.42,623,78.0,304.6
Tom Hoge,62.43,2018,63.62,28.45,61.41,70.945,594,101.0,291.4
Webb Simpson,62.34,2018,67.93,28.47,66.1,69.293,"1,710",95.0,293.7
Chris Stroud,62.24,2018,62.94,28.78,59.96,71.628,255,81.0,289.8
Bryson DeChambeau,62.23,2018,69.65,29.18,59.84,69.646,"1,617",93.0,305.7
Jonathan Randolph,62.18,2018,60.43,28.63,59.83,71.945,166,71.0,289.4
Rory Sabbatini,62.05,2018,67.85,29.07,61.36,70.693,521,91.0,292.3
Scott Brown,62.03,2018,65.65,29.1,54.79,71.329,422,102.0,292.6
Tyrrell Hatton,61.84,2018,66.46,29.2,62.58,70.09100000000001,550,58.0,298.8
Alex Noren,61.73,2018,64.91,28.97,61.74,69.973,989,67.0,299.2
Patrick Cantlay,61.58,2018,70.69,29.8,57.58,69.899,"1,388",72.0,302.1
Jordan Spieth,61.55,2018,70.47,29.09,61.63,69.904,945,76.0,304.5
J.T. Poston,61.53,2018,68.31,29.07,57.53,70.915,448,73.0,300.7
Kevin Chappell,61.27,2018,66.52,29.64,56.28,70.839,597,77.0,308.6
Shane Lowry,61.2,2018,68.65,30.04,53.48,70.75399999999999,296,64.0,300.7
Patrick Rodgers,61.14,2018,65.65,29.1,57.22,70.73100000000001,541,100.0,304.6
Whee Kim,61.11,2018,63.55,28.7,58.56,71.477,764,93.0,285.8
Nick Taylor,60.94,2018,67.65,29.48,61.83,71.26899999999999,420,94.0,292.7
Bud Cauley,60.81,2018,64.26,28.58,60.12,71.35600000000001,405,60.0,303.8
Si Woo Kim,60.68,2018,63.78,29.0,57.23,71.367,893,108.0,290.8
Nate Lashley,60.58,2018,68.2,29.32,60.59,70.999,168,51.0,293.9
Beau Hossler,60.47,2018,67.95,28.92,60.0,70.574,957,80.0,302.2
D.A. Points,60.47,2018,60.2,29.1,53.32,73.01899999999999,162,63.0,280.8
Brendan Steele,60.47,2018,69.24,30.36,52.56,71.021,998,74.0,310.3
Nicholas Lindheim,60.44,2018,68.04,29.25,53.9,71.344,272,77.0,293.5
Andrew Putnam,60.42,2018,70.47,29.36,61.52,70.579,"1,026",97.0,293.8
Jonas Blixt,60.3,2018,62.02,29.1,56.83,72.134,167,67.0,293.1
Ethan Tracy,60.25,2018,64.87,29.44,54.88,72.038,157,72.0,299.0
Byeong Hun An,60.19,2018,67.99,29.31,61.16,70.19,913,84.0,303.7
Marc Leishman,60.17,2018,66.67,28.94,59.07,70.26,"1,148",93.0,298.5
Sam Saunders,60.14,2018,65.02,28.73,55.79,70.794,420,80.0,302.8
Anirban Lahiri,60.09,2018,64.7,28.99,58.35,70.66,555,82.0,294.0
Sean O'Hair,60.09,2018,63.84,28.97,57.56,71.479,417,67.0,302.7
Chesson Hadley,60.07,2018,67.68,28.99,56.6,70.311,"1,122",103.0,300.0
Mackenzie Hughes,60.04,2018,66.01,29.37,54.19,71.282,227,80.0,301.2
William McGirt,59.89,2018,67.59,29.28,62.86,70.791,449,84.0,289.3
Xander Schauffele,59.77,2018,65.59,29.18,57.81,70.486,"1,081",48.0,303.2
Dustin Johnson,59.46,2018,70.57,28.47,62.5,68.69800000000001,"2,717",77.0,314.0
Matt Jones,59.38,2018,66.49,29.02,60.16,71.112,264,70.0,304.5
Tiger Woods,59.35,2018,67.4,28.49,64.16,69.35,"1,162",68.0,303.6
Billy Hurley III,59.24,2018,63.02,29.09,54.93,71.715,73,70.0,284.0
Jon Rahm,59.2,2018,70.12,29.14,57.18,69.958,"1,430",71.0,308.9
Ryan Palmer,59.11,2018,65.61,28.92,55.38,71.031,500,69.0,305.2
Harold Varner III,59.02,2018,67.79,29.56,58.14,70.971,474,91.0,308.2
Harris English,58.99,2018,63.32,28.76,57.86,71.16199999999999,383,72.0,301.1
